Year,Rank,Team,
2002,1,Brazil,
2002,2,Germany,
2002,3,France,
2002,4,Spain,
2002,5,England,
2002,6,Argentina,
2002,7,Portugal,
2002,8,Mexico,
2002,9,Netherlands,
2002,10,Belgium,
2002,11,Italy,
2002,12,Croatia,
2002,13,United States,
2002,14,Republic of Ireland,
2002,15,Cameroon,
2002,16,Paraguay,
2002,17,Sweden,
2002,18,Switzerland,
2002,19,Denmark,
2002,20,Austria,
2002,21,Uruguay,
2002,22,Slovenia,
2002,23,Nigeria,
2002,24,Russia,
2002,25,Costa Rica,
2002,26,Tunisia,
2002,27,Japan,
2002,28,Saudi Arabia,
2002,29,Ecuador,
2002,30,South Africa,
2002,31,Poland,
2002,32,Senegal,
2006,1,Brazil,
2006,2,Czech Republic,
2006,3,Netherlands,
2006,4,Mexico,
2006,5,Spain,
2006,6,United States,
2006,7,Portugal,
2006,8,Belgium,
2006,9,France,
2006,10,Argentina,
2006,11,England,
2006,12,Italy,
2006,13,Sweden,
2006,14,Japan,
2006,15,Germany,
2006,16,Denmark,
2006,17,Tunisia,
2006,18,Austria,
2006,19,Croatia,
2006,20,Costa Rica,
2006,21,Poland,
2006,22,Paraguay,
2006,23,Saudi Arabia,
2006,24,Switzerland,
2006,25,Ecuador,
2006,26,Australia,
2006,27,Serbia and Montenegro,
2006,28,Ukraine,
2006,29,Trinidad and Tobago,
2006,30,Ghana,
2006,31,Angola,
2006,32,Togo,
2010,1,Brazil,
2010,2,Spain,
2010,3,Netherlands,
2010,4,Italy,
2010,5,Germany,
2010,6,Argentina,
2010,7,Czech Republic,
2010,8,England,
2010,9,Belgium,
2010,10,France,
2010,11,Croatia,
2010,12,Portugal,
2010,13,United States,
2010,14,Switzerland,
2010,15,Cameroon,
2010,16,Greece,
2010,17,Chile,
2010,18,Mexico,
2010,19,Serbia,
2010,20,Paraguay,
2010,21,Austria,
2010,22,Australia,
2010,23,Uruguay,
2010,24,Denmark,
2010,25,Algeria,
2010,26,Nigeria,
2010,27,Slovakia,
2010,28,Honduras,
2010,29,Ghana,
2010,30,Japan,
2010,31,Slovenia,
2010,32,New Zealand,
2010,33,South Africa,
2014,1,Spain,
2014,2,Germany,
2014,3,Argentina,
2014,4,Colombia,
2014,5,Belgium,
2014,6,Uruguay,
2014,7,Switzerland,
2014,8,Netherlands,
2014,9,Italy,
2014,10,England,
2014,11,Brazil,
2014,12,Chile,
2014,13,United States,
2014,14,Portugal,
2014,15,Greece,
2014,16,Bosnia and Herzegovina,
2014,17,Croatia,
2014,18,Russia,
2014,19,Denmark,
2014,20,France,
2014,21,Austria,
2014,22,Ecuador,
2014,23,Ghana,
2014,24,Mexico,
2014,25,Costa Rica,
2014,26,Algeria,
2014,27,Nigeria,
2014,28,Honduras,
2014,29,Japan,
2014,30,Australia,
2014,31,Cameroon,
2018,1,France,
2018,2,Germany,
2018,3,Belgium,
2018,4,Netherlands,
2018,5,Poland,
2018,6,Portugal,
2018,7,Romania,
2018,8,England,
2018,9,Italy,
2018,10,Wales,
2018,11,Spain,
2018,12,Colombia,
2018,13,Croatia,
2018,14,Switzerland,
2018,15,Denmark,
2018,16,Austria,
2018,17,Senegal,
2018,18,Japan,
2022,1,France,
2022,2,Spain,
2022,3,England,
2022,4,Portugal,
2022,5,Netherlands,
2022,6,Belgium,
2022,7,Italy,
2022,8,Germany,
2022,9,Croatia,
2022,10,Switzerland,
2022,11,Denmark,
2022,12,Austria
