Year,home_team,away_team,home_score,home_xg,home_penalty,away_score,away_xg,away_penalty,Round
2022,Argentina,France,3,3.3,4,3,2.2,2,Final
2022,Croatia,Morocco,2,0.7,,1,1.2,,Third-place match
2022,France,Morocco,2,2,,0,0.9,,Semi-finals
2022,Argentina,Croatia,3,2.3,,0,0.5,,Semi-finals
2022,Morocco,Portugal,1,1.4,,0,0.9,,Quarter-finals
2022,England,France,1,2.4,,2,0.9,,Quarter-finals
2022,Croatia,Brazil,1,0.6,4,1,2.5,2,Quarter-finals
2022,Netherlands,Argentina,2,0.6,3,2,1.9,4,Quarter-finals
2022,Morocco,Spain,0,0.7,3,0,1,0,Round of 16
2022,Portugal,Switzerland,6,2.3,,1,1.2,,Round of 16
2022,Japan,Croatia,1,1.2,1,1,1.4,3,Round of 16
2022,Brazil,Korea Republic,4,3.6,,1,0.5,,Round of 16
2022,France,Poland,3,1.4,,1,1.7,,Round of 16
2022,England,Senegal,3,1,,0,0.8,,Round of 16
2022,Netherlands,United States,3,1.7,,1,1.5,,Round of 16
2022,Argentina,Australia,2,1.6,,1,0.6,,Round of 16
2022,Korea Republic,Portugal,2,1.7,,1,1.3,,Group stage
2022,Ghana,Uruguay,0,1.6,,2,1.8,,Group stage
2022,Cameroon,Brazil,1,0.5,,0,2.5,,Group stage
2022,Serbia,Switzerland,2,1.3,,3,2.7,,Group stage
2022,Canada,Morocco,1,1.4,,2,0.5,,Group stage
2022,Croatia,Belgium,0,0.7,,0,3,,Group stage
2022,Costa Rica,Germany,2,1.3,,4,5.7,,Group stage
2022,Japan,Spain,2,1.4,,1,1,,Group stage
2022,Australia,Denmark,1,0.6,,0,0.6,,Group stage
2022,Tunisia,France,1,0.5,,0,0.8,,Group stage
2022,Saudi Arabia,Mexico,1,1.1,,2,2.3,,Group stage
2022,Poland,Argentina,0,0.3,,2,3.5,,Group stage
2022,Ecuador,Senegal,1,0.9,,2,2.1,,Group stage
2022,Netherlands,Qatar,2,1.6,,0,0.1,,Group stage
2022,IR Iran,United States,0,0.4,,1,1.2,,Group stage
2022,Wales,England,0,0.3,,3,2.4,,Group stage
2022,Cameroon,Serbia,3,2.2,,3,1.9,,Group stage
2022,Korea Republic,Ghana,2,1.8,,3,1.6,,Group stage
2022,Brazil,Switzerland,1,1,,0,0.3,,Group stage
2022,Portugal,Uruguay,2,1.3,,0,1.3,,Group stage
2022,Japan,Costa Rica,0,0.9,,1,0.1,,Group stage
2022,Belgium,Morocco,0,1,,2,1.5,,Group stage
2022,Croatia,Canada,4,2.6,,1,0.4,,Group stage
2022,Spain,Germany,1,0.6,,1,1.3,,Group stage
2022,Tunisia,Australia,0,0.9,,1,0.6,,Group stage
2022,Poland,Saudi Arabia,2,1.6,,0,1.7,,Group stage
2022,France,Denmark,2,2.4,,1,0.6,,Group stage
2022,Argentina,Mexico,2,0.3,,0,0.3,,Group stage
2022,Wales,IR Iran,0,0.9,,2,1.4,,Group stage
