Year,Team,Avg_Squad_Age
2002,Denmark,28.09
2002,France,28.96
2002,Senegal,25.35
2002,Uruguay,25.83
2002,Paraguay,28.22
2002,Slovenia,28.7
2002,South_Africa,26.83
2002,Spain,27.13
2002,Brazil,26.74
2002,China_PR,26.65
2002,Costa_Rica,27.7
2002,Turkey,28.26
2002,Poland,28.74
2002,Portugal,28.39
2002,South_Korea,27.13
2002,United_States,28.83
2002,Cameroon,25.39
2002,Germany,28.26
2002,Republic_of_Ireland,27.52
2002,Saudi_Arabia,26.43
2002,Argentina,28.78
2002,England,27.3
2002,Nigeria,24.04
2002,Sweden,27.3
2002,Croatia,28.13
2002,Ecuador,27.96
2002,Italy,28.17
2002,Mexico,29.04
2002,Belgium,29.52
2002,Japan,25.87
2002,Russia,27.96
2002,Tunisia,27.43
2006,Costa_Rica,28.09
2006,Ecuador,27.0
2006,Germany,26.96
2006,Poland,27.17
2006,England,25.87
2006,Paraguay,27.17
2006,Sweden,28.17
2006,Trinidad_and_Tobago,29.57
2006,Argentina,26.57
2006,Ivory_Coast,25.96
2006,Netherlands,27.13
2006,Serbia_and_Montenegro,28.48
2006,Angola,26.74
2006,Iran,27.17
2006,Mexico,27.91
2006,Portugal,28.43
2006,Czech_Republic,28.87
2006,Ghana,25.35
2006,Italy,28.78
2006,United_States,28.61
2006,Australia,28.65
2006,Brazil,28.7
2006,Croatia,27.91
2006,Japan,27.74
2006,France,29.22
2006,South_Korea,26.43
2006,Switzerland,25.52
2006,Togo,25.96
2006,Saudi_Arabia,26.96
2006,Spain,26.26
2006,Tunisia,27.43
2006,Ukraine,26.39
2010,France,28.17
2010,Mexico,27.52
2010,South_Africa,27.43
2010,Uruguay,27.09
2010,Argentina,27.57
2010,Greece,28.04
2010,Nigeria,26.39
2010,South_Korea,27.48
2010,Algeria,26.74
2010,England,29.0
2010,Slovenia,27.17
2010,United_States,27.26
2010,Australia,29.13
2010,Germany,25.35
2010,Ghana,24.91
2010,Serbia,26.52
2010,Cameroon,25.57
2010,Denmark,28.35
2010,Japan,28.17
2010,Netherlands,28.13
2010,Italy,28.74
2010,New_Zealand,27.91
2010,Paraguay,28.87
2010,Slovakia,26.65
2010,Brazil,29.17
2010,Ivory_Coast,27.17
2010,North_Korea,25.43
2010,Portugal,28.22
2010,Chile,26.43
2010,Honduras,28.35
2010,Spain,26.3
2010,Switzerland,27.13
2014,Brazil,28.39
2014,Cameroon,26.57
2014,Croatia,27.35
2014,Mexico,27.17
2014,Australia,26.39
2014,Chile,28.04
2014,Netherlands,26.43
2014,Spain,28.26
2014,Colombia,27.43
2014,Greece,28.52
2014,Ivory_Coast,28.0
2014,Japan,27.22
2014,Costa_Rica,27.48
2014,England,26.65
2014,Italy,27.91
2014,Uruguay,28.57
2014,Ecuador,27.78
2014,France,26.83
2014,Honduras,28.74
2014,Switzerland,26.09
2014,Argentina,28.83
2014,Bosnia_and_Herzegovina,27.04
2014,Iran,28.48
2014,Nigeria,25.83
2014,Germany,26.22
2014,Ghana,25.65
2014,Portugal,28.48
2014,United_States,27.87
2014,Algeria,26.57
2014,Belgium,25.91
2014,Russia,27.43
2014,South_Korea,26.13
2018,Egypt,28.96
2018,Russia,28.91
2018,Saudi_Arabia,28.78
2018,Uruguay,28.09
2018,Iran,27.26
2018,Morocco,27.17
2018,Portugal,28.43
2018,Spain,28.43
2018,Australia,28.22
2018,Denmark,27.09
2018,France,26.09
2018,Peru,27.48
2018,Argentina,29.52
2018,Croatia,27.83
2018,Iceland,28.52
2018,Nigeria,26.04
2018,Brazil,28.61
2018,Costa_Rica,29.74
2018,Serbia,26.78
2018,Switzerland,27.26
2018,Germany,27.09
2018,Mexico,29.17
2018,South_Korea,27.78
2018,Sweden,28.17
2018,Belgium,27.57
2018,England,26.09
2018,Panama,28.83
2018,Tunisia,26.48
2018,Colombia,28.35
2018,Japan,28.52
2018,Poland,28.26
2018,Senegal,27.09
2022,Ecuador,25.62
2022,Netherlands,26.69
2022,Qatar,27.12
2022,Senegal,26.04
2022,England,26.54
2022,Iran,28.92
2022,United_States,25.31
2022,Wales,26.54
2022,Argentina,27.81
2022,Mexico,28.58
2022,Poland,27.04
2022,Saudi_Arabia,27.42
2022,Australia,27.23
2022,Denmark,27.23
2022,France,26.69
2022,Tunisia,28.08
2022,Costa_Rica,27.23
2022,Germany,26.85
2022,Japan,27.81
2022,Spain,25.38
2022,Belgium,27.88
2022,Canada,27.08
2022,Croatia,27.42
2022,Morocco,26.31
2022,Brazil,28.0
2022,Cameroon,26.38
2022,Serbia,26.92
2022,Switzerland,27.12
2022,Ghana,24.92
2022,Portugal,26.88
2022,South_Korea,27.81
2022,Uruguay,27.85
