Year,Team,Avg_Experience_Caps
2002,Denmark,24.0
2002,France,38.3
2002,Senegal,18.87
2002,Uruguay,22.87
2002,Paraguay,34.22
2002,Slovenia,31.83
2002,South_Africa,22.65
2002,Spain,18.04
2002,Brazil,28.04
2002,China_PR,42.17
2002,Costa_Rica,39.96
2002,Turkey,31.57
2002,Poland,25.83
2002,Portugal,32.78
2002,South_Korea,42.09
2002,United_States,50.13
2002,Cameroon,28.48
2002,Germany,23.91
2002,Republic_of_Ireland,33.48
2002,Saudi_Arabia,48.17
2002,Argentina,40.52
2002,England,23.91
2002,Nigeria,17.35
2002,Sweden,27.3
2002,Croatia,27.57
2002,Ecuador,34.26
2002,Italy,27.13
2002,Mexico,39.74
2002,Belgium,23.87
2002,Japan,21.17
2002,Russia,30.65
2002,Tunisia,31.22
2006,Costa_Rica,39.04
2006,Ecuador,34.78
2006,Germany,32.22
2006,Poland,23.83
2006,England,32.09
2006,Paraguay,32.09
2006,Sweden,39.39
2006,Trinidad_and_Tobago,40.22
2006,Argentina,24.26
2006,Ivory_Coast,23.13
2006,Netherlands,25.22
2006,Serbia_and_Montenegro,26.91
2006,Angola,19.39
2006,Iran,36.83
2006,Mexico,46.96
2006,Portugal,34.48
2006,Czech_Republic,37.0
2006,Ghana,16.78
2006,Italy,32.91
2006,United_States,44.78
2006,Australia,27.0
2006,Brazil,43.78
2006,Croatia,32.74
2006,Japan,45.61
2006,France,38.83
2006,South_Korea,42.61
2006,Switzerland,23.39
2006,Togo,21.04
2006,Saudi_Arabia,43.78
2006,Spain,25.26
2006,Tunisia,30.7
2006,Ukraine,29.74
2010,France,30.65
2010,Mexico,43.35
2010,South_Africa,32.57
2010,Uruguay,23.04
2010,Argentina,24.43
2010,Greece,30.65
2010,Nigeria,25.91
2010,South_Korea,44.7
2010,Algeria,20.96
2010,England,35.65
2010,Slovenia,22.61
2010,United_States,35.35
2010,Australia,32.83
2010,Germany,26.57
2010,Ghana,23.65
2010,Serbia,24.26
2010,Cameroon,29.61
2010,Denmark,36.57
2010,Japan,47.74
2010,Netherlands,35.91
2010,Italy,35.52
2010,New_Zealand,21.48
2010,Paraguay,33.48
2010,Slovakia,24.52
2010,Brazil,38.7
2010,Ivory_Coast,33.39
2010,North_Korea,23.74
2010,Portugal,29.13
2010,Chile,24.65
2010,Honduras,42.22
2010,Spain,38.3
2010,Switzerland,27.43
2014,Brazil,29.65
2014,Cameroon,30.22
2014,Croatia,39.87
2014,Mexico,41.22
2014,Australia,17.78
2014,Chile,34.96
2014,Netherlands,28.65
2014,Spain,60.48
2014,Colombia,28.26
2014,Greece,38.78
2014,Ivory_Coast,38.39
2014,Japan,40.39
2014,Costa_Rica,34.04
2014,England,28.57
2014,Italy,32.74
2014,Uruguay,49.96
2014,Ecuador,35.39
2014,France,21.35
2014,Honduras,47.43
2014,Switzerland,32.22
2014,Argentina,32.22
2014,Bosnia_and_Herzegovina,26.26
2014,Iran,30.61
2014,Nigeria,28.17
2014,Germany,42.78
2014,Ghana,30.7
2014,Portugal,38.13
2014,United_States,35.65
2014,Algeria,16.57
2014,Belgium,32.57
2014,Russia,26.7
2014,South_Korea,26.39
2018,Egypt,37.3
2018,Russia,28.52
2018,Saudi_Arabia,34.3
2018,Uruguay,42.26
2018,Iran,30.52
2018,Morocco,24.04
2018,Portugal,39.52
2018,Spain,42.22
2018,Australia,29.83
2018,Denmark,26.57
2018,France,26.04
2018,Peru,35.87
2018,Argentina,37.35
2018,Croatia,40.3
2018,Iceland,40.04
2018,Nigeria,25.61
2018,Brazil,29.87
2018,Costa_Rica,51.35
2018,Serbia,25.96
2018,Switzerland,37.35
2018,Germany,41.09
2018,Mexico,60.3
2018,South_Korea,29.3
2018,Sweden,31.3
2018,Belgium,47.26
2018,England,20.96
2018,Panama,58.48
2018,Tunisia,20.17
2018,Colombia,31.0
2018,Japan,45.0
2018,Poland,35.48
2018,Senegal,26.61
2022,Ecuador,24.27
2022,Netherlands,26.27
2022,Qatar,56.62
2022,Senegal,20.85
2022,England,31.54
2022,Iran,39.2
2022,United_States,26.35
2022,Wales,38.08
2022,Argentina,34.12
2022,Mexico,50.65
2022,Poland,34.5
2022,Saudi_Arabia,28.77
2022,Australia,20.65
2022,Denmark,38.62
2022,France,34.31
2022,Tunisia,37.88
2022,Costa_Rica,44.35
2022,Germany,35.23
2022,Japan,35.15
2022,Spain,28.19
2022,Belgium,52.19
2022,Canada,31.62
2022,Croatia,37.65
2022,Morocco,20.04
2022,Brazil,36.62
2022,Cameroon,25.62
2022,Serbia,29.85
2022,Switzerland,38.85
2022,Ghana,18.62
2022,Portugal,41.08
2022,South_Korea,35.46
2022,Uruguay,45.5
